frame_id,stem,product,object_id,area,aspect_ratio,number_of_grapes,ths1,ths2,ths3,ths4,rg1,rg2,rg3,rg4,ratio_upper_lower,ratio_left_right,mean_grape_area,mean_grape_ratio,percentage_bunch_area,compactness
222,1,32,23,3828,1.977,19,0,0,0,0,0,0,0,100,0.9,0.36,77.0,0.86,0.1,0.05
222,1,32,56,3872,2.0,17,0,0,0,0,0,0,0,100,0.89,0.7,82.88,0.9,0.09,0.05
222,1,32,62,4140,1.957,24,0,0,0,0,0,0,0,100,1.18,1.18,53.75,0.88,0.1,0.04
222,1,32,39,4095,2.022,18,0,0,0,5,0,0,0,94,1.57,1.57,110.22,0.94,0.11,0.06
222,1,32,7,3915,1.933,22,0,0,0,4,0,0,0,95,1.2,1.75,93.82,0.95,0.14,0.06
222,1,32,74,4370,2.065,11,0,0,0,0,0,0,0,100,1.2,2.67,79.36,1.04,0.07,0.05
222,1,32,81,5824,1.857,14,0,0,0,0,0,0,0,100,1.33,2.5,87.5,1.02,0.12,0.07
222,1,32,101,7200,2.0,21,0,0,0,0,0,0,0,100,0.62,0.75,124.67,1.05,0.14,0.05
222,1,32,79,3936,1.708,14,0,0,21,0,0,0,0,78,1.8,1.0,118.71,1.12,0.07,0.05
222,1,32,120,4545,2.244,20,0,0,0,0,0,0,0,100,0.67,1.22,112.35,1.07,0.13,0.06
222,1,32,125,5768,1.839,2,0,0,0,0,0,0,0,100,inf,0.0,121.5,1.11,0.02,0.08
222,1,32,104,6380,1.897,22,0,0,0,0,0,0,0,100,1.75,1.2,74.0,1.05,0.09,0.04
222,1,32,124,4030,1.048,9,0,0,0,0,0,0,0,100,0.5,2.0,210.0,0.98,0.09,0.06
222,1,32,135,3965,1.066,12,0,0,16,0,0,0,0,83,3.0,1.0,110.0,1.0,0.09,0.05
222,1,32,146,6901,1.537,23,0,0,0,0,0,0,0,100,1.3,0.53,93.26,0.98,0.11,0.05
222,1,32,98,8260,1.686,26,0,0,0,23,0,0,3,73,0.53,2.25,141.46,1.07,0.17,0.05
222,1,32,140,6435,1.523,41,0,0,0,7,0,0,0,92,0.78,1.16,154.95,1.05,0.15,0.04
222,1,32,145,16368,1.892,22,9,0,0,0,0,0,0,90,0.69,1.2,113.68,0.97,0.14,0.05
222,1,32,153,6660,1.216,18,0,0,0,16,0,0,0,83,1.57,0.64,161.11,1.04,0.13,0.05
222,1,32,142,13416,2.205,40,0,0,15,35,0,0,0,50,1.86,1.11,104.48,1.02,0.16,0.05
222,1,32,171,13650,2.244,24,0,0,0,0,0,0,0,100,1.0,1.4,205.75,1.0,0.13,0.05
222,1,32,159,14105,1.703,21,0,0,14,0,0,0,0,85,0.91,1.33,154.33,1.0,0.15,0.06
222,1,32,163,8528,1.268,26,0,15,30,0,0,0,0,53,1.6,1.89,204.58,1.0,0.13,0.05
222,1,32,165,12600,1.556,29,0,0,31,0,0,0,0,68,0.71,1.23,210.34,1.01,0.1,0.04
222,1,32,172,18974,1.689,35,0,0,37,17,0,0,0,45,0.59,1.19,206.4,1.05,0.12,0.04
222,1,32,176,15484,1.612,22,0,0,18,0,0,0,4,77,1.44,1.0,230.32,1.06,0.14,0.05
222,1,32,167,19448,1.798,13,0,0,0,0,0,0,0,100,1.6,2.25,114.38,1.06,0.11,0.07
222,1,32,186,11340,2.857,28,0,0,14,3,0,0,0,82,1.15,0.65,252.79,1.06,0.16,0.05
222,1,32,179,20235,2.242,34,0,0,8,14,0,0,0,76,1.0,0.62,171.38,1.03,0.16,0.05
222,1,32,191,16610,1.373,20,0,0,45,20,0,0,0,35,0.67,2.33,235.05,1.08,0.14,0.07
222,1,32,181,9477,1.444,19,0,0,10,0,0,0,5,84,1.11,1.11,175.11,1.11,0.14,0.06
222,1,32,193,10824,1.61,23,0,0,47,30,0,0,0,21,0.77,0.92,194.87,1.03,0.15,0.06
293,2,28,201,13100,1.31,3,0,33,33,0,0,0,0,33,0.5,2.0,275.33,1.0,0.03,0.08
293,2,28,221,13824,1.5,35,0,2,45,11,0,0,0,40,0.75,0.67,274.17,1.0,0.16,0.05
293,2,28,226,15048,1.535,15,0,0,26,0,0,0,0,73,0.88,1.5,354.8,1.04,0.14,0.07
293,2,28,220,14240,2.225,28,14,53,25,0,0,0,0,7,0.87,1.0,342.89,1.08,0.16,0.05
293,2,28,215,11040,2.319,14,0,14,57,7,0,0,0,21,0.75,0.75,238.36,1.12,0.13,0.07
293,2,28,207,12604,1.489,27,0,25,51,3,0,0,0,18,1.08,1.7,231.85,1.05,0.18,0.06
293,2,28,210,14586,1.402,25,0,0,4,0,0,0,0,96,1.08,0.79,146.4,1.03,0.16,0.05
293,2,28,216,16756,1.203,8,0,12,50,0,0,0,0,37,0.33,3.0,361.62,1.0,0.07,0.07
293,2,28,241,11026,2.014,4,0,0,0,0,0,25,0,75,1.0,0.33,150.25,1.1,0.04,0.11
293,2,28,236,13410,1.656,30,0,0,33,6,0,0,0,60,0.67,1.5,180.47,1.03,0.16,0.05
293,2,28,252,15510,1.755,11,0,0,0,0,0,0,0,100,1.2,0.83,164.82,0.89,0.09,0.07
293,2,28,240,14168,1.83,19,0,0,0,0,0,0,0,100,0.58,0.46,224.53,0.98,0.1,0.05
293,2,28,239,14151,1.787,17,0,5,0,0,0,0,0,94,0.89,0.7,221.18,1.09,0.13,0.06
293,2,28,238,13410,1.656,25,0,0,12,0,0,0,0,88,0.32,0.92,388.12,1.04,0.14,0.05
293,2,28,267,21168,2.204,7,14,0,0,0,0,0,0,85,0.4,0.4,309.14,1.06,0.06,0.09
293,2,28,255,12351,2.594,10,10,0,0,0,0,0,10,80,1.5,1.0,323.1,1.15,0.08,0.07
293,2,28,253,6120,1.181,19,0,0,0,0,0,0,0,100,1.11,0.9,264.58,1.05,0.15,0.06
