object_id,centroids_x,centroids_y,aspect_ratio,area,frames,scores,counted
113,22,1386,0.0,0.0,129,0.13,False
113,84,1405,2.7080745341614905,70196.0,140,0.11,False
113,85,1406,2.607843137254902,61047.0,141,0.12,False
113,71,1428,2.4846153846153847,41990.0,142,0.57,False
113,55,1467,2.6666666666666665,26136.0,143,0.77,False
113,42,1510,2.617283950617284,17172.0,144,0.45,False
113,33,1526,2.4558823529411766,11356.0,145,0.19,False
141,306,1153,0.0,0.0,146,0.2,False
141,291,1157,1.5696202531645569,480004.0,147,0.44,False
141,282,1162,1.5936920222634507,463001.0,148,0.44,False
141,289,1162,1.6147859922178989,426620.0,149,0.56,False
141,279,1154,1.6061185468451242,439320.0,150,0.67,False
141,277,1155,1.658051689860835,419502.0,151,0.19,False
141,258,1148,1.748945147679325,392946.0,153,0.22,False
141,242,1147,1.7821350762527233,375462.0,154,0.56,False
141,232,1150,1.766884531590414,372249.0,155,0.66,False
141,220,1165,1.8803827751196172,328548.0,156,0.37,False
141,211,1171,1.948019801980198,317948.0,157,0.22,False
141,199,1182,2.073298429319372,302544.0,158,0.54,False
141,186,1189,2.4285714285714284,274176.0,159,0.44,False
141,171,1198,2.621019108280255,258422.0,160,0.68,False
141,155,1214,2.702341137123746,241592.0,161,0.89,False
141,150,1227,2.888888888888889,239616.0,162,0.38,False
141,139,1246,3.007380073800738,220865.0,163,0.74,False
141,121,1261,3.5086206896551726,188848.0,164,0.79,False
141,107,1284,3.859154929577465,175086.0,165,0.69,False
141,99,1301,4.088669950738916,168490.0,166,0.12,False
141,92,1302,4.348958333333333,160320.0,167,0.17,False
141,84,1310,4.775862068965517,144594.0,168,0.31,False
141,80,1317,5.024096385542169,138444.0,169,0.29,False
141,75,1310,1.4028776978417266,27105.0,170,0.14,False
141,67,1318,1.3833333333333333,19920.0,171,0.19,False
166,103,1601,0.0,0.0,166,0.71,False
166,97,1600,4.348958333333333,160320.0,167,0.72,False
166,94,1616,4.775862068965517,144594.0,168,0.41,False
166,91,1633,5.024096385542169,138444.0,169,0.29,False
